pk,model,upc14,upc12,brand,name,Price
1,shoppingcart.Product,35200264013,35200264013,Riceland,Riceland American Jazmine Rice,$13.00 
2,shoppingcart.Product,11111065925,11111065925,Caress,Caress Velvet Bliss Ultra Silkening Beauty Bar - 6 Ct,$3.00 
3,shoppingcart.Product,23923330139,23923330139,Earth's Best,Earth's Best Organic Fruit Yogurt Smoothie Mixed Berry,$20.00 
4,shoppingcart.Product,2.09E+11,2.09E+11,Boar's Head,Boar's Head Sliced White American Cheese - 120 Ct,$17.00 
5,shoppingcart.Product,7.59E+11,7.59E+11,Back To Nature,Back To Nature Gluten Free White Cheddar Rice Thin Crackers,$10.00 
6,shoppingcart.Product,74170388732,74170388732,Sally Hansen,Sally Hansen Nail Color Magnetic 903 Silver Elements,$11.00 
7,shoppingcart.Product,70177154004,70177154004,Twinings Of London,Twinings Of London Classics Lady Grey Tea - 20 Ct,$8.00 
8,shoppingcart.Product,51600080015,51600080015,Lea & Perrins,Lea & Perrins Marinade In-a-bag Cracked Peppercorn,$1.00 
9,shoppingcart.Product,19600923015,19600923015,Van De Kamp's,Van De Kamp's Fillets Beer Battered - 10 Ct,$26.00 
10,shoppingcart.Product,6.88E+11,6.88E+11,Ahold,Ahold Cocoa Almonds,$20.00 
11,shoppingcart.Product,6.58E+11,6.58E+11,Honest Tea,Honest Tea Peach White Tea,$27.00 
12,shoppingcart.Product,74676640211,74676640211,Mueller,Mueller Sport Care Basic Support Level Medium Elastic Knee Support,$28.00 
13,shoppingcart.Product,6.03E+11,6.03E+11,Garnier Nutritioniste,Garnier Nutritioniste Moisture Rescue Fresh Cleansing Foam,$30.00 
14,shoppingcart.Product,41167300121,41167300121,Pamprin,Pamprin Maximum Strength Multi-symptom Menstrual Pain Relief,$13.00 
15,shoppingcart.Product,79400847201,79400847201,Suave,Suave Naturals Moisturizing Body Wash Creamy Tropical Coconut,$15.00 
16,shoppingcart.Product,7.93E+11,7.93E+11,Burt's Bees,Burt's Bees Daily Moisturizing Cream Sensitive,$17.00 
17,shoppingcart.Product,88313590791,88313590791,Ducal,Ducal Refried Red Beans,$5.00 
18,shoppingcart.Product,21200725340,21200725340,Scotch,Scotch Removable Clear Mounting Squares - 35 Ct,$28.00 
19,shoppingcart.Product,41520035646,41520035646,Careone,Careone Family Comb Set - 8 Ct,$25.00 
20,shoppingcart.Product,2.04E+11,2.04E+11,Usda Produce,Plums Black,$10.00 
21,shoppingcart.Product,7.54E+11,7.54E+11,Doctor's Best,Doctor's Best Best Curcumin C3 Complex 1000mg Tablets - 120 Ct,$26.00 
22,shoppingcart.Product,16000288829,16000288829,Betty Crocker,Betty Crocker Twin Pack Real Potatoes Scalloped 2 Pouches For 2 Meals - 2 Pk,$25.00 
23,shoppingcart.Product,70670009658,70670009658,Reese,Reese Mandarin Oranges Segments In Light Syrup,$4.00 
24,shoppingcart.Product,6.88E+11,6.88E+11,Smart Living,Smart Living Charcoal Lighter Fluid,$24.00 
25,shoppingcart.Product,44100117428,44100117428,Hood,Hood Latte Iced Coffee Drink Vanilla Latte,$18.00 
26,shoppingcart.Product,3.00E+11,3.00E+11,Triaminic,Triaminic Syrup Night Time Cold & Cough Grape 4oz,$17.00 
27,shoppingcart.Product,24600017008,24600017008,Morton,Morton Kosher Salt Coarse,$5.00 
28,shoppingcart.Product,7.19E+11,7.19E+11,Usda Produce,Guava,$23.00 
29,shoppingcart.Product,13000001038,13000001038,Heinz,Heinz Tomato Ketchup - 2 Ct,$21.00 
30,shoppingcart.Product,7.24E+11,7.24E+11,Petmate,"Petmate Booda Bones Steak, Bacon & Chicken Flavors - 9 Ct",$29.00 
31,shoppingcart.Product,6.53E+11,6.53E+11,Zhena's Gypsy Tea,Zhena's Gypsy Tea Herbal Red Tea Sachets Fire Light Chai - 22 Ct,$30.00 
32,shoppingcart.Product,8500004528,8500004528,Barefoot,Barefoot Pinot Grigio  187,$14.00 
33,shoppingcart.Product,71463060078,71463060078,The First Years,Tomy The First Years Gumdrop Orthodontic Pacifiers 6m+ - 2ct,$25.00 
34,shoppingcart.Product,3.13E+11,3.13E+11,Halls,Halls Menthol Cough Suppresant/oral Anesthetic Drops Honey-lemon - 30 Ct,$28.00 
35,shoppingcart.Product,33674100066,33674100066,Nature's Way,Nature's Way Forskohlii - 60 Ct,$30.00 
36,shoppingcart.Product,6.10E+11,6.10E+11,Deerfields Gluten Free,Rice Bran Gluten Free Dinner Rolls Plain,$25.00 
37,shoppingcart.Product,73575295003,73575295003,Nakano,Nakano Seasoned Rice Vinegar Original,$24.00 
38,shoppingcart.Product,30768540548,30768540548,Sundown Naturals,"Sundown Naturals Essential Electrolytes Tropical Punch, Watermelon And Fruit Punch Gummies - 60 Ct",$21.00 
39,shoppingcart.Product,28400029254,28400029254,Munchies,Munchies Sandwich Crackers Cheddar Cheese On Golden Toast Crackers - 8 Pk,$6.00 
40,shoppingcart.Product,42272008063,42272008063,Amy's,Amy's Light & Lean Spaghetti Italiano,$14.00 
41,shoppingcart.Product,31000670016,31000670016,P.f. Chang's,P.f. Chang's Home Menu Meal For Two Beef With Broccoli,$28.00 
42,shoppingcart.Product,8.84E+11,8.84E+11,Mom's Best Naturals,Mom's Best Naturals Cereal Toasted Cinnamon Squares,$27.00 
43,shoppingcart.Product,71403000379,71403000379,Ferrara,Ferrara Vanilla Syrup,$3.00 
44,shoppingcart.Product,26000001403,26000001403,Elmer's,Elmer's Board Mate Dual Tip Glue Pen,$27.00 
45,shoppingcart.Product,38000542237,38000542237,Kellogg's,Kellogg's Disney Pixar Cars 2 Cereal,$13.00 
46,shoppingcart.Product,35457770664,35457770664,Mama Marys,Pizza Sauce,$22.00 
47,shoppingcart.Product,8.85E+11,8.85E+11,Bear Naked,Bear Naked Fit Almond Crisp 100% Natural Energy Cereal,$30.00 
48,shoppingcart.Product,79400271631,79400271631,Dove,Dove Men + Care Antiperspirant Deodorant Cool Silver,$18.00 
49,shoppingcart.Product,62338879772,62338879772,Easy-off,Easy-off Oven Cleaner Lemon Scent,$3.00 
50,shoppingcart.Product,47445919221,47445919221,Choice,Choice Organic Teas Black Tea Classic Black - 16 Ct,$22.00 
51,shoppingcart.Product,41520314307,41520314307,Careone,Careone Lubricating Jelly,$9.00 
52,shoppingcart.Product,15229375198,15229375198,Sacla,Sacla Italia Sun Dried Pesto Sauce,$25.00 
53,shoppingcart.Product,36000141870,36000141870,Huggies,Huggies Natural Care Wipes - 3 Pk,$30.00 
54,shoppingcart.Product,7.89E+11,7.89E+11,Serpis,Serpis Green Olives Stuffed With Spicy Chorizo,$21.00 
55,shoppingcart.Product,8.18E+11,8.18E+11,Ripken,Ripken Power Shred Beef Jerky Teriyaki,$11.00 
56,shoppingcart.Product,73410032022,73410032022,Arnold,Arnold Bread Jewish Rye Everything,$25.00 
57,shoppingcart.Product,32917001863,32917001863,Traditional Medicinals,Traditional Medicinals Herbal Tea Bags Just For Kids Organic Nighty Night - 18 Ct,$4.00 
58,shoppingcart.Product,75767200246,75767200246,Perry's Ice Cream,Perry's Ice Cream Panda Paws,$8.00 
59,shoppingcart.Product,8500001210,8500001210,Black Swan,Black Swan Shiraz Merlot 1.5, $-   
60,shoppingcart.Product,9.00E+11,9.00E+11,Maty's,Maty's All Natural Kids 1+ Caramel Banana Taste Cough Syrup,$13.00 
61,shoppingcart.Product,21000028207,21000028207,Kraft,Kraft Anything Dressing Honey Mustard,$23.00 
62,shoppingcart.Product,11141100054,11141100054,Eight O'clock Coffee,Eight O'clock Coffee Dark Italian Roast Ground,$22.00 
63,shoppingcart.Product,6.88E+11,6.88E+11,Ahold,Ahold  Honey Mustard,$14.00 
64,shoppingcart.Product,7.64E+11,7.64E+11,Enzymatic Therapy,Enzymatic Therapy  Acidophilus Pearls Active Cultures Dietary Supplement - 30 Ct,$4.00 
65,shoppingcart.Product,6.88E+11,6.88E+11,Ahold,Ahold Complete Buttermilk Pancake & Waffle Mix,$29.00 
66,shoppingcart.Product,41235000700,41235000700,Mrs Renfro,Salsa Habanero,$23.00 
67,shoppingcart.Product,8.05E+11,8.05E+11,Say-it,Say-it Sandwich & Snack Bags- 60 Pk,$24.00 
68,shoppingcart.Product,44500976496,44500976496,Hillshire Farm,Hillshire Farm Deli Select Smoked Ham With Water Added Ultra Thin,$21.00 
69,shoppingcart.Product,50000127344,50000127344,Coffee-mate,Nestle Coffee-mate Fat Free Hazelnut Flavor Coffee Creamer,$3.00 
70,shoppingcart.Product,41520313539,41520313539,Careone,Careone Cotton Swabs,$17.00 
71,shoppingcart.Product,3.80E+11,3.80E+11,1-day,1-day Vaginal Antifungal Prefilled Applicator 1-dose Treatment,$15.00 
72,shoppingcart.Product,3.06E+11,3.06E+11,Preparation H,Preparation H Hemorrhoidal Ointment,$21.00 
73,shoppingcart.Product,7.37E+11,7.37E+11,Roth Kase,"Roth Kase Mini Cheeseboard Kit Havarti, Gruyere & Pepper Jack - 3 Ct",$21.00 
